Slug	EN	DE	PL	RU	NL	FR	CZ	UA	HR	GR	PT	TR	BG	HU	ES	IT	SR	RO
carrier_accept_warning_title	Data privacy notice	Datenschutzhinweis	Informacja o ochronie danych osobowych	Положение о конфиденциальности	Gegevensbeschermingsverklaring	Avis de confidentialité relatif aux données	Oznámení o ochraně osobních údajů	Сповіщення про конфіденційність даних	Obavijest o zaštiti podataka	Δήλωση απορρήτου δεδομένων	Política de privacidade de dados	Veri gizliliği bildirimi	Известие за поверителност	Adatvédelmi értesítés	Aviso de privacidad de datos	Informativa sulla privacy dei dati	Обавештење о приватности података	Notificare de confidențialitate a datelor
confirm	Confirm	Bestätigen	Zatwierdź	Подтвердить	Bevestigen	Confirmer	Potvrdit	Підтвердити	Potvrdi	Επιβεβαίωση	Confirmar	Onayla	Потвърди	Megerősítés	Confirmar	Conferma	Потврди	A confirma
deny	Deny	Ablehnen	Odrzuć	Отклонить	Afwijzen	Refuser	Odmítnout	Відхилити	Odbij	Απόρριψη	Recusar	Reddet	Откажи	Elutasítás	Denegar	Rifiuta	Одбиј	Negă
carrier_accept_warning_url	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/datenschutzerklarung	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/	https://www.trusted-carrier.com/en/privacy-policy/
carrier_accept_warning_description	By clicking on the “Confirm” button, I agree to the processing of my personal data entered in the Driver App Wallet for the purpose of linking to my client/employer as a driver. All further information about the processing of my data and my rights can be found	Mit dem Klick auf den „Bestätigen“ Button willige ich in die Verarbeitung der in der Fahrer-App Wallet eigegebenen personenbezogenen Daten zum Zweck der Verknüpfung mit meinem Auftraggeber/Arbeitgeber als Fahrer ein. Alle weiteren Informationen zur Verarbeitung Ihrer Daten und Ihren Rechten finden Sie	Klikając w przycisk „Zatwierdź”, wyrażam zgodę na przetwarzanie danych osobowych zawartych w aplikacji dla kierowców Wallet celem nawiązania przeze mnie jako kierowcę kontaktu ze zleceniodawcą/pracodawcą. Wszystkie pozostałe informacje odnośnie przetwarzania danych osobowych znajdują się	Щелкнув мышью по клавише «Подтвердить», я выражаю свое согласие с обработкой персональных данных, указанных в приложении для водителей Wallet, для установления контакта с моим заказчиком/работодателем в качестве водителя. Всю дополнительную информацию по обработке ваших данных и по вашим правам можно найти	Door op de knop "Bevestigen" te klikken, geef ik toestemming voor het verwerken van de in de bestuurders-app Wallet ingevoerde persoonsgerelateerde gegevens, die dienen voor de koppeling met mijn opdrachtgever/werkgever als bestuurder. Alle overige gegevens voor het verwerken van uw gegevens en uw rechten vindt u	En cliquant sur le bouton « Confirmer », je consens au traitement de mes données personnelles saisies dans l'application pour chauffeurs Wallet à des fins d'association à mon client/employeur en tant que chauffeur. Davantage d'informations sur le traitement de mes données et mes droits sont disponibles	Kliknutím na tlačítko „Potvrdit“ souhlasím se zpracováním svých osobních údajů zadaných do aplikace pro řidiče Wallet pro účely mého propojení jakožto řidiče s klientem/zaměstnavatelem. Veškeré další informace o zpracování mých údajů a mých právech lze nalézt	Натискаючи кнопку «Підтвердити», я даю згоду на обробку моїх особистих даних, введених у застосунок для водіїв Wallet, з метою прив'язки до клієнта/працедавця у якості водія. Всю додаткову інформацію про обробку даних і мої права можна знайти	Klikom gumba „Potvrdi” pristajem na obradu svojih osobnih podataka unesenih u aplikaciju za vozače Wallet u svrhu povezivanja s mojim klijentom/poslodavcem u svojstvu vozača. Sve dodatne informacije o obradi svojih podataka i svojim pravima mogu pronaći	Κάνοντας κλικ στο κουμπί «Επιβεβαίωση», συμφωνώ με την επεξεργασία των προσωπικών μου δεδομένων που καταχωρήθηκαν στο Driver App Wallet με σκοπό τη σύνδεση με τον πελάτη/εργοδότη μου ως οδηγός. Όλες τις περαιτέρω πληροφορίες σχετικά με την επεξεργασία των δεδομένων μου και τα δικαιώματά μου μπορείτε να τις βρείτε	Ao clicar no botão “Confirmar”, concordo com o processamento dos meus dados pessoais introduzidos na app de motoristas Wallet com a finalidade de me associar ao meu cliente/empregador como motorista. Todas as informações adicionais sobre o processamento dos meus dados e os meus direitos podem ser encontradas	“Onayla” düğmesine tıklayarak, sürücü olarak müşterimle/işverenimle bağlantı kurmak amacıyla Wallet Sürücü Uygulaması’na girdiğim kişisel verilerimin işlenmesini kabul ediyorum. Verilerimin işlenmesi ve haklarım hakkında daha fazla bilgi	С натискането на бутона „Потвърди“ се съгласявам с обработката на личните ми данни, въведени в приложението за водачи Wallet, за да се свържа като водач с моя клиент/работодател. Цялата допълнителна информация относно обработката на данните и правата можете да намерите	A „Megerősítés” gombra kattintva hozzájárulok ahhoz, hogy a Wallet járművezetői alkalmazásban megadott személyes adataimat magamat az ügyfelemhez/munkáltatómhoz való, járművezetőként történő hozzárendelés céljából kezeljék. Az adataim kezelésével és a jogaimmal kapcsolatos valamennyi további információ megtalálható	Al hacer clic en el botón «Confirmar», acepto el tratamiento de mis datos personales introducidos en la Driver App Wallet con el fin de vincularme a mi cliente/empleador como conductor. Encontrará más información sobre el tratamiento de mis datos y derechos	Cliccando sul pulsante “Conferma”, acconsento al trattamento dei miei dati personali inseriti nell’app per conducenti Wallet allo scopo di collegarmi al mio cliente/datore di lavoro in qualità di conducente. Tutte le altre informazioni sull’elaborazione dei miei dati e dei miei diritti può essere trovata	Кликом на дугме „Потврди“ сагласан/на сам са обрадом личних података унесених у апликацију Wallet за возача у циљу повезивања са мојим клијентом/послодавцем као возачем. Све даље информације о обради мојих података и мојим правима можете да пронађете	Făcând clic pe butonul „Confirmați”, sunt de acord cu procesarea datelor mele personale introduse în portofelul de aplicații Driver în scopul de a face legătura cu clientul/angajatorul meu ca șofer. Toate informațiile suplimentare despre procesarea datelor mele și a drepturilor mele pot fi găsite
here	here	hier	tutaj	здесь	hier	ici	zde	тут	ovdje	εδώ	aqui	burada bulunabilir	тук	itt.	aquí.	qui	овде	Aici
are_you_sure_deny	Are you sure you want to deny the request?	Sind Sie sicher, dass Sie die Anfrage ablehnen möchten?	Czy na pewno chcesz odrzucić to zapytanie?	Вы действительно хотите отклонить запрос?	Weet u zeker dat u de aanvraag wilt afwijzen?	Voulez-vous vraiment refuser la demande ?	Jste si jisti, že chcete žádost odmítnout?	Дійсно відхилити цей запит?	Zbilja želite odbiti zahtjev?	Είστε βέβαιοι ότι θέλετε να απορρίψετε το αίτημα;	Tem a certeza de que quer recusar o pedido?	İsteği reddetmek istediğinizden emin misiniz?	Сигурни ли сте, че искате да откажете заявката?	Biztosan el szeretné utasítani a kérelmet?	¿Seguro que desea denegar esta solicitud?	Confermi di voler rifiutare la richiesta?	Да ли сте сигурни да желите одбити захтев?	Ești sigur că vrei să negi cererea?
delete_association_waiting_title	Are you sure to revoke the association request?	Sind Sie sicher, dass Sie die Verknüpfungsanfrage zurücknehmen wollen?	Czy na pewno chcesz anulować to zapytanie o kontakt?	Вы действительно хотите отозвать запрос об установлении контакта?	Weet u zeker dat u de koppelingsaanvraag wilt terugnemen?	Voulez-vous vraiment annuler la demande d'association ?	Jste si jisti, že chcete odvolat žádost o propojení?	Дійсно відкликати запит на прив'язку?	Zbilja želite povući zahtjev za povezivanje?	Είστε βέβαιοι ότι θέλετε να ανακαλέσετε το αίτημα συσχετισμού;	Tem a certeza de que quer revogar o pedido de associação?	Bağlantı isteğini geri almak istediğinizden emin misiniz?	Сигурни ли сте, че искате да оттеглите заявката за свързване?	Biztosan vissza szeretné vonni a hozzárendelési kérelmet?	¿Seguro que desea cancelar la solicitud de asociación?	Confermi di voler revocare la richiesta di associazione?	Да ли сте сигурни да желите опозвати захтев за повезивање?	Ești sigur că vei revoca cererea de asociere?
delete_association_confirmed_title	Are you sure to delete the association?	Sind Sie sicher, dass Sie die Verknüpfung löschen wollen?	Czy na pewno chcesz usunąć ten kontakt?	Вы действительно хотите удалить контакт?	Weet u zeker dat u de koppeling wilt wissen?	Voulez-vous vraiment supprimer l'association ?	Jste si jisti, že chcete propojení odstranit?	Дійсно видалити цю прив'язку?	Zbilja želite izbrisati povezivanje?	Είστε βέβαιοι ότι θέλετε να διαγράψετε τον συσχετισμό;	Tem a certeza de que quer eliminar a associação?	Bu bağlantıyı silmek istediğinizden emin misiniz?	Сигурни ли сте, че искате да изтриете свързването?	Biztosan törölni szeretné a hozzárendelési kérelmet?	¿Seguro que desea eliminar la asociación?	Confermi di voler eliminare l’associazione?	Да ли сте сигурни да желите да обришете везу?	Ești sigur că ștergeți asociația?
email_invite_subject	Invitation for Trusted Carrier Wallet	Einladung zu Trusted Carrier Wallet	Zaproszenie do Trusted Carrier Wallet	Приглашение в приложение Trusted Carrier Wallet	Uitnodiging voor de Trusted Carrier Wallet	Invitation pour Trusted Carrier Wallet	Pozvánka do Trusted Carrier Wallet	Запрошення до Trusted Carrier Wallet	Pozivnica za Trusted Carrier Wallet	Πρόσκληση για το Trusted Carrier Wallet	Convite para a Trusted Carrier Wallet	Trusted Carrier Wallet daveti	Покана за Trusted Carrier Wallet	Meghívás a Trusted Carrier Wallet alkalmazásba	Invitación a Trusted Carrier Wallet	Invito a Trusted Carrier Wallet	Позивница за Trusted Carrier Wallet	Invitație pentru portofel de transport de încredere
add_vehicle_component	Add Vehicle Component	Fahrzeugkomponente hinzufügen	Dodaj komponent pojazdu	Добавить компонент транспортного средства	Voertuigcomponent toevoegen	Ajouter un composant de véhicule	Přidat díl vozidla	Додати компонент транспортного засобу	Dodaj komponentu vozila	Προσθήκη εξαρτήματος οχήματος	Adicionar componente do veículo	Araç bileşeni ekle	Добавяне на компонент на превозното средство	Járműkomponens hozzáadása	Añadir componente del vehículo	Aggiungi componente del veicolo	Додајте компоненту возила	Adăugați componenta vehiculului
add_vehicle_component_split	Add Vehicle Component	Fahrzeugkomponente\nhinzufügen	Dodaj komponent(y) pojazdu	Добавить компонент/ы транспортного средства	Voertuigcomponent\ntoevoegen	Ajouter un composant de véhicule	Přidat díl vozidla	Додати компонент транспортного засобу	Dodaj komponentu vozila	Προσθήκη εξαρτήματος οχήματος	Adicionar componente do veículo	Araç bileşeni ekle	Добавяне на компонент на превозното средство	Járműkomponens hozzáadása	Añadir componente del vehículo	Aggiungi componente del veicolo	Додајте компоненту возила	Adăugați componenta vehiculului
add_component	+ Add Component	Hinzufügen	Dodaj	Добавить	Toevoegen	+ Ajouter un composant	+ Přidat díl vozidla	+ Додати компонент	+ Dodaj komponentu	+ Προσθήκη εξαρτήματος	+ Adicionar componente	+ Bileşen ekle	+ Добави компонент	+ Komponens hozzáadása	+ Añadir componente	+ Aggiungi componente	+ Додај компоненту	+ Adăugați componentă
motor_vehicle	Motor Vehicle	Kraftfahrzeug	Pojazd samochodowy	Автотранспортное средство	Motorvoertuig	Véhicule motorisé	Motorové vozidlo	Автомобіль	Motorno vozilo	Μηχανοκίνητο όχημα	Veículo motorizado	Motorlu araç	Моторно превозно средство	Gépjármű	Vehículo a motor	Veicolo a motore	Моторно возило	Vehicul cu motor
additional_vehicle	Additional vehicle component(s)	Weitere Fahrzeugkomponente(n)	Inny(e) komponent(y) pojazdu	Другой/ие компонент/ы транспортного средства	Meer voertuigcomponent(en)	Composant(s) de véhicule supplémentaire(s)	Další díl(y) vozidla	Додаткові компоненти транспортного засобу	Dodatne komponente vozila	Πρόσθετο(α) εξάρτημα(τα) οχήματος	Componente(s) adicional(is) do veículo	İlave araç bileşen(ler)i	Допълнителен(-ни) компонент(и) на превозното средство	További járműkomponens(ek)	Componente(s) adicionales del vehículo	Componenti aggiuntivi del veicolo	Додатна/е компонентa/е возила	Componente (componente) de vehicule suplimentare
component_limit_reached	You cannot add more than 5 components.	Sie können nicht mehr als 5 Fahrzeugkomponenten erfassen.	Nie możesz wprowadzić więcej niż 5 komponentów pojazdu.	Вы не можете зарегистрировать более 5 компонентов транспортного средства.	U kunt niet meer dan 5 voertuigcomponenten vastleggen.	Vous ne pouvez pas ajouter plus de 5 composants	Nemůžete přidat více než 5 dílů.	Можна додати не більше 5 компонентів.	Ne možete dodati više od 5 komponenti.	Δεν μπορείτε να προσθέσετε πάνω από 5 εξαρτήματα.	Não pode adicionar mais do que 5 componentes.	5’ten fazla bileşen ekleyemezsiniz.	Не можете да добавяте повече от 5 компонента.	Legfeljebb 5 komponenst adhat hozzá.	No puede añadir más de 5 componentes.	Non puoi aggiungere più di 5 componenti.	Не можете додати више од 5 компоненти.	Nu puteți adăuga mai mult de 5 componente.
confirm_vehicle_components	Confirm vehicle components	Fahrzeugkomponenten bestätigen	Zatwierdź komponenty pojazdu	Подтвердить компоненты транспортного средства	Voertuigcomponenten bevestigen	Composant(s) de véhicule supplémentaire(s)	Potvrdit díly vozidla	Підтвердити компоненти транспортного засобу	Potvrdi komponente vozila	Επιβεβαίωση εξαρτημάτων οχήματος	Confirmar componentes do veículo	Araç bileşenlerini onayla	Потвърдете компонентите на превозното средство	A járműkomponensek megerősítése	Confirmar los componentes del vehículo	Conferma i componenti del veicolo	Потврдите компоненте возила	Confirmați componentele vehiculului
sure_want_delete_vehicle_component	Are you sure you want to delete this vehicle component?	Sind Sie sicher, dass Sie diese Fahrzeugkomponente entfernen wollen?	Czy na pewno chcesz usunąć ten komponent pojazdu?	Вы действительно хотите удалить данный компонент транспортного средства?	Weet u zeker dat u deze voertuigcomponent wilt verwijderen?	Voulez-vous vraiment supprimer ce composant de véhicule ?	Jste si jisti, že chcete tento díl vozidla odstranit?	Дійсно видалити цей компонент транспортного засобу?	Zbilja želite izbrisati ovu komponentu vozila?	Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτό το εξάρτημα οχήματος;	Tem a certeza de que quer eliminar este componente do veículo?	Bu araç bileşenini silmek istediğinizden emin misiniz?	Сигурни ли сте, че искате да изтриете този компонент?	Biztosan törölni szeretné ezt a járműkomponenst?	¿Seguro que desea eliminar este componente del vehículo?	Confermi di voler eliminare questo componente del veicolo?	Да ли сте сигурни да желите избрисати ову компоненту возила?	Ești sigur că vrei să ștergi această componentă a vehiculului?
this_action_cannot_be_undone	This action cannot be undone	Dies kann nicht rückgängig gemacht werden	Tej czynności nie można cofnąć	Это действие нельзя аннулировать	Dit kan niet worden hersteld	Cette action est irréversible	Tuto akci nelze vrátit	Цю дію не можна відмінити	Ta se radnja ne može poništiti	Αυτή η ενέργεια δεν μπορεί να αναιρεθεί	Esta ação não pode ser revertida	Bu eylem geri alınamaz	Това действие не може да бъде отменено.	Ezt a lépést nem lehet visszavonni	Esta acción no se puede deshacer.	Questa azione non può essere annullata	Ова радња се не може поништити	Această acțiune nu poate fi anulată
yes_delete	Yes, delete	Ja, löschen	Tak, usuń	Да, удалить	Ja, wissen	Oui, supprimer	Ano, odstranit	Так, видалити	Da, izbriši	Ναι, διαγραφή	Sim, eliminar	Evet, sil	Да, изтрий	Igen, törölje	Sí, eliminar	Sì, elimina	Да, избриши	Da, Ștergeți
component_type	Component type	Komponententyp	Typ komponentu	Тип компонента	Componenttype	Type de composant	Typ dílu	Тип компонента	Vrsta komponente	Τύπος εξαρτήματος	Tipo de componente	Bileşen tipi	Тип на компонента	Komponens típusa	Tipo de componente	Tipo di componente	Врста компоненте	Tip component
licence_plate_container	Licence plate / container number	Kfz-Kennzeichen / Containernummer	Nr rej. pojazdu / numer kontenera	Номерной знак автомобиля / номер контейнера	Motorvoertuigkenteken / containernummer	Plaque d'immatriculation / numéro de conteneur	Registrační značka / číslo kontejneru	Номерний знак / номер контейнера	Registracijska pločica / broj kontejnera	Πινακίδα κυκλοφορίας / αριθμός εμπορευματοκιβωτίου	Matrícula / número do contentor	Plaka / konteyner numarası	Регистрационен номер/номер на контейнер	Rendszámtábla / konténerszám	Matrícula / número de contenedor	Targa/Numero del container	Број регистарске таблице / контејнера	Placă de înmatriculare / număr de container
match_german_number	Note: Please use the format AA-BB1234 for German licence plates (with a dash after the location code)	Hinweis: Bitte verwenden Sie für deutsche Kfz-Kennzeichen das Format AA-BB1234 (mit Bindestrich nach der Ortskennung)	Uwaga: w przypadku niemieckich tablic rejestracyjnych (z dywizem po kodzie lokalizacji) należy używać formatu AA-BB1234	Примечание: используйте формат AA-BB1234 для немецких номеров (с тире после кода региона)	Opmerking: gebruik het formaat AA-BB1234 voor Duitse kentekenplaten (met een streepje na de gebiedscode)	Remarque : Utilisez le format AA-BB1234 pour les plaques d'immatriculation allemandes (avec un trait d'union après le code du lieu)	Upozornění: U německých registračních značek použijte prosím formát AA-BB1234 (s pomlčkou po kódu lokality)	Примітка. Для німецьких номерних знаків використовуйте формат AA-BB1234 (з тире після коду місцерозташування)	Napomena: Upotrijebite format AA-BB1234 za njemačke registracijske pločice (sa spojnicom nakon šifre lokacije)	Σημείωση: Χρησιμοποιήστε τη μορφή AA-BB1234 για γερμανικές πινακίδες κυκλοφορίας (με παύλα μετά τον κωδικό τοποθεσίας)	Nota: Utilize o formato AA-BB1234 para matrículas alemãs (com um traço após o código do local)	Not: Alman plakaları için AA-BB1234 formatını kullanın (konum kodundan sonra bir tire ile)	Забележка: За немски регистрационни номера използвайте формат AA-BB1234 (с тире след кода на мястото).	Megjegyzés: Kérjük, használja az AA-BB1234 formátumot a német rendszámtáblákhoz (legyen kötőjel a helynévkód után)	Nota: Utilice el formato AA-BB1234 para las matrículas alemanas (con un guion después del código de ubicación).	Nota: usa il formato AA-BB1234 per le targhe tedesche (con un trattino dopo le lettere iniziali che corrispondono al circondario o alla città in cui il veicolo è stato immatricolato)	Белешка: Користите формат AA-BB1234 за немачке регистарске таблице (са цртицом после кода локације)	Notă: Vă rugăm să utilizați formatul AA-BB1234 pentru plăcuțele de înmatriculare germane (cu o linie după codul de locație)
match_ISO_number	Note: Container number does not comply with ISO 6346 standard. Please use the format CTUU1234567 (without a dash before the check number)	Hinweis: Containernummer entspricht nicht ISO 6346 Standard. Bitte verwenden Sie das Format CTUU1234567 (ohne Bindestrich vor der Prüfziffer)	Uwaga: numer kontenera niezgodny ze standardem ISO 6346. Należy używać formatu CTUU1234567 (bez dywizu przed numerem kontrolnym)	Примечание: номер контейнера не соответствует стандарту ISO 6346. Просьба использовать формат CTUU1234567 (без тире перед контрольным номером)	Opmerking: het containernummer voldoet niet aan de norm ISO 6346. Gebruik het formaat CTUU1234567 (zonder een streepje voor het controlenummer)	Remarque : Le numéro de conteneur n'est pas conforme à la norme ISO 6346. Utilisez le format CTUU1234567 (sans trait d'union avant le numéro de contrôle)	Upozornění: Číslo kontejneru nesplňuje normu ISO 6346. Použijte formát CTUU1234567 (bez pomlčky před kontrolním číslem)	Примітка. Номер контейнера не відповідає стандарту ISO 6346. Використовуйте формат CTUU1234567 (без тире перед контрольним номером)	Napomena: Broj kontejnera nije u skladu sa standardom ISO 6346. Upotrijebite format CTUU1234567 (bez spojnice ispred kontrolnog broja)	Σημείωση: Ο αριθμός εμπορευματοκιβωτίου δεν συμμορφώνεται με το πρότυπο ISO 6346. Χρησιμοποιήστε τη μορφή CTUU1234567 (χωρίς παύλα πριν από τον αριθμό ελέγχου)	Nota: O número do contentor não cumpre a norma ISO 6346. Utilize o formato CTUU1234567 (sem traço antes do número do número de verificação)	Not: Konteyner numarası ISO 6346 standardı ile uyumlu değil. CTUU1234567 formatını kullanın (kontrol numarasından önce tire olmadan)	Забележка: Номерът на контейнера не съответства на стандарта ISO 6346. Моля, използвайте формата CTUU1234567 (без тире пред контролното число).	Megjegyzés: A konténerszám nem felel meg az ISO 6346 szabványnak. Kérjük, használja a CTUU1234567 formátumot (ne legyen kötőjel az ellenőrző szám előtt)	Nota: El número de contenedor no cumple la norma ISO 6346. Utilice el formato CTUU1234567 (sin guion antes del número de comprobación).	Nota: il numero del container non è conforme allo standard ISO 6346. Usa il formato CTUU1234567 (senza il trattino)	Белешка: Број контејнера није у складу са стандардом ISO 6346. Користите формат CTUU1234567 (без цртице испред контролног броја)	Notă: Numărul containerului nu respectă standardul ISO 6346. Vă rugăm să utilizați formatul CTUU1234567 (fără o linie înainte de numărul de verificare)
invalid_licence	Licence plate / container number contains invalid characters. Please only use A-Z; Ä, Ö, Ü, 0-9; „-“	Kfz-Kennzeichen / Containernummer enthält ungültige Zeichen. Bitte verwenden Sie nur A-Z; Ä, Ö, Ü, 0-9; „-“	Numer tablicy rejestracyjnej / kontenera zawiera nieprawidłowe znaki. Należy używać wyłącznie znaków A-Z; Ä, Ö, Ü, 0-9; „-”	Номерной знак / номер контейнера содержит недопустимые символы. Пожалуйста, используйте только A-Z; Ä, Ö, Ü, 0-9; „-“	Kentekenplaat/containernummer bevat ongeldige tekens. Gebruik alleen A-Z; Ä, Ö, Ü, 0-9; „-“	La plaque d'immatriculation ou le numéro de conteneur contient des caractères non valides. Utilisez uniquement A-Z; Ä, Ö, Ü, 0-9; „-“	Registrační značka / číslo kontejneru obsahuje neplatné znaky. Používejte pouze znaky A–Z; Ä, Ö, Ü, 0–9; „-“	Номерний знак / номер контейнера містить неприпустимі символи. Використовуйте лише символи A–Z; Ä, Ö, Ü, 0–9; „-“	Registracijska pločica / broj kontejnera sadrži zabranjene znakove. Dopušteno samo A – Z; Ä, Ö, Ü, 0 – 9; „-”	Η πινακίδα κυκλοφορίας / Ο αριθμός εμπορευματοκιβωτίου περιέχει μη έγκυρους χαρακτήρες. Χρησιμοποιήστε μόνο τους χαρακτήρες A-Z; Ä, Ö, Ü, 0-9; „-“	A matrícula / número do contentor contém caracteres inválidos. Utilize apenas A-Z; Ä, Ö, Ü, 0-9; „-“	Plaka / konteyner numarası geçersiz karakterler içeriyor. Yalnızca A-Z; Ä, Ö, Ü, 0-9; “-” kullanın	Регистрационният номер/номерът на контейнера съдържа невалидни знаци. Моля, използвайте само A-Z; Ä, Ö, Ü, 0-9; „-“	A rendszámtábla / konténerszám érvénytelen karaktereket tartalmaz. Kérjük, csak a következőket használja: A-Z; Ä, Ö, Ü, 0-9; „-“	La matrícula / número de contenedor contiene caracteres no válidos. Utilice solo los caracteres: A-Z; Ä, Ö, Ü, 0-9; "-".	La targa o il numero del container contengono caratteri non validi. Usa solo A-Z; Ä, Ö, Ü, 0-9; “-”	Број регистарске таблице / контејнера садржи неважеће знакове. Користите само A-Z; Ä, Ö, Ü, 0-9; „-“	Placa de înmatriculare / numărul containerului conține caractere nevalide. Vă rugăm să folosiți doar A-Z; Ä, Ö, ü, 0-9; „-„
frequently_chosen	Frequently chosen	Häufig gewählt	Często wybierane	Частый выбор	Vaak gekozen	Fréquemment choisi	Často zvolené	Популярні	Često birano	Επιλέγονται συχνά	Escolhido frequentemente	Sık seçilen	Често избирани	Gyakran választott	Elegidos con frecuencia	Selezioni frequenti	Често бирани	Ales frecvent
nationality_label	Nationality	Nationalität	Narodowość	Национальная принадлежность	Nationaliteit	Nationalité	Národnost	Країна реєстрації	Nacionalnost	Εθνικότητα	Nacionalidade	Uyruk	Националност	Állampolgárság	Nacionalidad	Nazionalità	Националност	Naţionalitate
licence_plate	Licence plate	Kfz-Kennzeichen	Nr rejestracyjny pojazdu	Номерной знак автомобиля	Kenteken motorvoertuig	Plaque d'immatriculation	Registrační značka	Номерний знак	Registracijska pločica	Πινακίδα κυκλοφορίας	Matrícula	Plaka	Регистрационен номер	Rendszámtábla	Matrícula	Targa	Регистарскa таблицa	Placuta de inmatriculare
container_number	Container number	Containernummer	Nr kontenera	Номер контейнера	Containernummer	Numéro de conteneur	Číslo kontejneru	Номер контейнера	Broj kontejnera	Αριθμός εμπορευματοκιβωτίου	Número do contentor	Konteyner numarası	Номер на контейнер	Konténerszám	Número de contenedor	Numero del container	Број контејнера	Numărul containerului
vehicle_semitruck	Semi-truck	Zugmaschine	Ciągnik	Автомобиль-тягач	Trekker	Semi-remorque	Tahač	Фура	Poluprikolica	Semi-truck	Semirreboque	Yarı kamyon	Влекач	Nyerges vontató	Camión semirremolque	Autoarticolato	Тегљач	Semi camion
vehicle_truck_chassis	Truck (chassis)	Motorwagen (Chassis)	Samochód ciężarowy (bez nadwozia)	Автомобиль (шасси)	Motorwagen (chassis)	Camion (châssis)	Nákladní automobil (náprava)	Вантажівка (шасі)	Kamion (šasija)	Φορτηγό (πλαίσιο)	Camião (chassi)	Kamyon (şasi)	Камион (шаси)	Tehergépjármű (alváz)	Camión (chasis)	Autocarro (telaio)	Камион (шасија)	Camion (șasiu)
vehicle_truck_packaged	Truck (packaged)	Motorwagen (verpackt)	Samochód ciężarowy (z nadwoziem)	Автомобиль (снаряженный)	Motorwagen (verpakt)	Camion (fermé)	Nákladní automobil (zakrytý)	Вантажівка (закрита)	Kamion (zapakiran)	Φορτηγό (packaged)	Camião (pronto a instalar)	Kamyon (paketli)	Камион (оборудван)	Tehergépjármű (felépítmény)	Camión (embalado)	Autocarro (carico)	Камион (комплетан)	Camion (ambalat)
	Truck (Curtain)	Motorwagen (Plane)	Samochód ciężarowy (z plandeką)	Автомобиль (брезент)	Motorwagen (dekzeil)	Camion (rideau)	Nákladní automobil (plachta)	Вантажівка (тент)	Kamion (zastor)	Φορτηγό (κουρτίνα)	Camião (cortina)	Kamyon (perde)	Камион (брезент)	Tehergépjármű (ponyva)	Camión (cortina)	Autocarro (telone)	Камион (са церадом)	Camion (perdea)
	Truck (Box)	Motorwagen (Koffer)	Samochód ciężarowy (ze skrzynią)	Автомобиль (кузов-фургон)	Motorwagen (koffer)	Camion (caisson)	Nákladní automobil (skříň)	Вантажівка (фургон)	Kamion (kutija)	Φορτηγό (κιβώτιο)	Camião (caixa)	Kamyon (kutu)	Камион (бокс)	Tehergépjármű (karosszéria)	Camión (caja)	Autocarro (furgone)	Камион (са сандуком)	Camion (cutie)
	Truck (Thermo)	Motorwagen (Thermo)	Samochód ciężarowy (izoterma)	Автомобиль (рефрижератор)	Motorwagen (thermo)	Camion (réfrigéré)	Nákladní automobil (chladírenský)	Вантажівка (рефрижератор)	Kamion (hladnjača)	Φορτηγό (ψυγείο)	Camião (caixa térmica)	Kamyon (termo)	Камион (изотермичен)	Tehergépjármű (hűtőkocsi)	Camión (termo)	Autocarro (refrigerato)	Камион (хладњача)	Camion (Thermo)
	Truck (Tank)	Motorwagen (Tank)	Samochód ciężarowy (cysterna)	Автомобиль (цистерна)	Motorwagen (tank)	Camion (citerne)	Nákladní automobil (cisterna)	Вантажівка (цистерна)	Kamion (cisterna)	Φορτηγό (δεξαμενή)	Camião (cisterna)	Kamyon (tank)	Камион (цистерна)	Tehergépjármű (tartály)	Camión (cisterna)	Autocarro (cisterna)	Камион (цистерна)	Camion (rezervor)
	Truck (Silo)	Motorwagen (Silo)	Samochód ciężarowy (silos)	Автомобиль (силос-цистерна)	Motorwagen (silo)	Camion (silo)	Nákladní automobil (silo)	Вантажівка (кормовоз)	Kamion (silos)	Φορτηγό (σιλό)	Camião (silo)	Kamyon (silo)	Камион (силоз)	Tehergépjármű (siló)	Camión (silo)	Autocarro (silo)	Камион (силос)	Camion (silo)
